Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
Kingston upon Thames,Four or More Bedrooms,70,2398,1898,2200,2553
Lambeth,Room,10,662,598,663,763
Lambeth,Studio,30,1154,895,1125,1350
Lambeth,One Bedroom,330,1530,1324,1497,1716
Lambeth,Two Bedrooms,520,1711,1450,1650,1905
Lambeth,Three Bedrooms,190,2426,1998,2317,2648
Lambeth,Four or More Bedrooms,90,3159,2600,3175,3600
Lewisham,Room,130,642,592,644,695
Lewisham,Studio,90,891,800,850,1000
Lewisham,One Bedroom,560,1163,1000,1150,1300
Lewisham,Two Bedrooms,720,1372,1235,1350,1500
Lewisham,Three Bedrooms,270,1658,1495,1600,1800
Lewisham,Four or More Bedrooms,80,2289,1900,2200,2500
Merton,Room,10,632,550,642,732
Merton,Studio,30,1102,900,980,1313
Merton,One Bedroom,370,1231,1100,1250,1340
Merton,Two Bedrooms,520,1556,1350,1500,1650
Merton,Three Bedrooms,200,1979,1700,1900,2200
Merton,Four or More Bedrooms,150,2730,2200,2650,3025
Newham,Room,60,690,463,592,742
Newham,Studio,60,1123,1088,1161,1211
Newham,One Bedroom,400,1222,1100,1200,1395
Newham,Two Bedrooms,600,1513,1339,1450,1704
Newham,Three Bedrooms,300,1753,1558,1700,1900
Newham,Four or More Bedrooms,100,2077,1850,2000,2250
Redbridge,Room,50,843,592,692,886
Redbridge,Studio,40,740,651,750,850
Redbridge,One Bedroom,290,1029,900,1040,1150
Redbridge,Two Bedrooms,490,1292,1200,1275,1400
Redbridge,Three Bedrooms,230,1589,1450,1600,1700
Redbridge,Four or More Bedrooms,90,2124,1800,2000,2325
Richmond upon Thames,Room,
Richmond upon Thames,Studio,50,982,850,950,1100
Richmond upon Thames,One Bedroom,420,1287,1150,1250,1398
Richmond upon Thames,Two Bedrooms,810,1701,1450,1600,1850
Richmond upon Thames,Three Bedrooms,350,2241,1695,2000,2600
Richmond upon Thames,Four or More Bedrooms,210,3930,2750,3500,4250
Southwark,Room,30,668,592,642,767
Southwark,Studio,40,1097,1000,1100,1209
Southwark,One Bedroom,390,1402,1220,1350,1517
